id,college,team
6704,Arizona State University,BOS
6705,Arizona State University,BOS
6706,Arizona State University,NYK
6707,Arizona State University,NJN
6708,Colorado State University,DEN
6709,Colorado State University,UTA
6710,Colorado State University,DEN
6711,Auburn University,ATL
6712,Auburn University,ATL
6713,Auburn University,IND
6714,Auburn University,IND
6715,Auburn University,KCK
6716,Auburn University,TOT
6717,Auburn University,CLE
6718,Auburn University,ATL
6719,Auburn University,PHO
6720,Auburn University,SAC
6721,Auburn University,TOT
6722,Auburn University,HOU
6723,Auburn University,KCK
6724,Auburn University,SEA
6725,Auburn University,ATL
6726,Auburn University,HOU
6727,Auburn University,CHH
6728,Auburn University,SEA
6729,Auburn University,HOU
6730,Auburn University,KCK
6731,Auburn University,ATL
6732,Auburn University,ATL
6733,Auburn University,KCK
6734,Auburn University,SEA
6735,Auburn University,PHO
6736,Auburn University,ATL
6737,Auburn University,TOT
6738,Auburn University,SAC
6739,Auburn University,PHO
6740,Auburn University,PHO
6741,Auburn University,SEA
6742,Auburn University,ATL
6743,Auburn University,ATL
6744,University of Illinois at Urbana-Champaign,ATL
6745,University of Illinois at Urbana-Champaign,ATL
6746,University of Illinois at Urbana-Champaign,IND
6747,University of Illinois at Urbana-Champaign,IND
6748,University of Illinois at Urbana-Champaign,KCK
6749,University of Illinois at Urbana-Champaign,TOT
6750,University of Illinois at Urbana-Champaign,CLE
6751,University of Illinois at Urbana-Champaign,ATL
6752,University of Illinois at Urbana-Champaign,PHO
6753,University of Illinois at Urbana-Champaign,SAC
6754,University of Illinois at Urbana-Champaign,TOT
6755,University of Illinois at Urbana-Champaign,HOU
6756,University of Illinois at Urbana-Champaign,KCK
6757,University of Illinois at Urbana-Champaign,SEA
6758,University of Illinois at Urbana-Champaign,ATL
6759,University of Illinois at Urbana-Champaign,HOU
6760,University of Illinois at Urbana-Champaign,CHH
6761,University of Illinois at Urbana-Champaign,SEA
6762,University of Illinois at Urbana-Champaign,HOU
6763,University of Illinois at Urbana-Champaign,KCK
6764,University of Illinois at Urbana-Champaign,ATL
6765,University of Illinois at Urbana-Champaign,ATL
6766,University of Illinois at Urbana-Champaign,KCK
6767,University of Illinois at Urbana-Champaign,SEA
6768,University of Illinois at Urbana-Champaign,PHO
6769,University of Illinois at Urbana-Champaign,ATL
6770,University of Illinois at Urbana-Champaign,TOT
6771,University of Illinois at Urbana-Champaign,SAC
6772,University of Illinois at Urbana-Champaign,PHO
6773,University of Illinois at Urbana-Champaign,PHO
6774,University of Illinois at Urbana-Champaign,SEA
6775,University of Illinois at Urbana-Champaign,ATL
6776,University of Illinois at Urbana-Champaign,ATL
6777,Temple University,MEM
6778,Temple University,DAL
6779,Temple University,LAL
6780,Temple University,MEM
6781,Temple University,MIA
6782,Temple University,TOT
6783,Temple University,MIA
6784,Temple University,LAL
6785,Temple University,LAL
6786,Temple University,CHH
6787,Temple University,MIA
6788,Temple University,TOT
6789,Temple University,MIA
6790,Temple University,MIA
6791,Temple University,LAL
6792,Temple University,CHH
6793,Temple University,LAL
6794,Temple University,MIA
6795,Rutgers University,TOT
6796,Rutgers University,NJN
6797,Rutgers University,LAL
6798,Rutgers University,TOT
6799,Rutgers University,CLE
6800,Rutgers University,NJN
6801,Rutgers University,LAL
6802,Rutgers University,NJN
6803,Rutgers University,TOT
6804,Rutgers University,LAL
6805,Rutgers University,LAL
6806,Rutgers University,POR
6807,Rutgers University,NJN
6808,Temple University,NYK
6809,Temple University,ATL
6810,Temple University,NYK
6811,Seattle University,DET
6812,Seattle University,DET
6813,Seattle University,DET
6814,Seattle University,NYK
6815,Seattle University,DET
6816,Seattle University,BAL
6817,Seattle University,BAL
6818,Seattle University,DET
6819,Seattle University,DET
6820,Seattle University,DET
6821,Seattle University,TOT
6822,Syracuse University,BLB
6823,Syracuse University,BLB
6824,Syracuse University,MLH
6825,Syracuse University,TOT
6826,"University of Nevada, Las Vegas",BUF
6827,University of Alabama,NJN
6828,University of Central Oklahoma,CHH
6829,University of Central Oklahoma,CHH
6830,University of Central Oklahoma,CHI
6831,University of Central Oklahoma,CHI
6832,University of Central Oklahoma,CHI
6833,"University of Nevada, Reno",SAS
6834,"University of Nevada, Reno",SAS
6835,"University of Nevada, Reno",DET
6836,"University of Nevada, Reno",DET
6837,"University of Nevada, Reno",TOT
6838,"University of Nevada, Reno",CLE
6839,"University of Nevada, Reno",NJN
6840,"University of Nevada, Reno",TOT
6841,"University of Nevada, Reno",CLE
6842,"University of Nevada, Reno",SAS
6843,McNeese State University,DET
6844,University of Oklahoma,GSW
6845,University of Oklahoma,DAL
6846,University of Oklahoma,NJN
6847,University of Oklahoma,DAL
6848,University of Oklahoma,DAL
6849,University of Oklahoma,DEN
6850,University of Oklahoma,CHA
6851,University of Oklahoma,DAL
6852,University of Oklahoma,TOT
6853,University of Oklahoma,NJN
6854,University of Oklahoma,TOT
6855,University of Oklahoma,DEN
6856,University of Oklahoma,DAL
6857,University of Oklahoma,CHA
6858,University of Oklahoma,DEN
6859,University of Oklahoma,DEN
6860,Siena College,WAS
6861,Baylor University,LAC
6862,Baylor University,MIL
6863,Baylor University,MIL
6864,Baylor University,GSW
6865,Baylor University,MIL
6866,Baylor University,GSW
6867,Baylor University,TOT
6868,Clemson University,LAL
6869,Clemson University,NOH
6870,Clemson University,CHH
6871,Clemson University,CHH
6872,Clemson University,TOT
6873,Clemson University,SEA
6874,Clemson University,TOT
6875,Clemson University,LAL
6876,Clemson University,LAL
6877,Clemson University,CHH
6878,Clemson University,DET
6879,Clemson University,LAL
6880,Clemson University,LAL
6881,Clemson University,LAL
6882,Clemson University,LAL
6883,Clemson University,LAL
6884,Clemson University,LAL
6885,Clemson University,NJN
6886,Clemson University,CHH
6887,Clemson University,DET
6888,Clemson University,TOT
6889,University of Washington,TOT
6890,University of Washington,CHH
6891,University of Washington,ATL
6892,University of Washington,CHH
6893,University of Washington,LAC
6894,University of Washington,DEN
6895,University of Washington,CHH
6896,University of Washington,HOU
6897,University of Washington,CHH
6898,University of Washington,ATL
6899,University of Louisiana at Lafayette,ORL
6900,University of Louisiana at Lafayette,ORL
6901,University of Louisiana at Lafayette,ORL
6902,Gonzaga University,LAL
6903,University of Alabama at Birmingham,UTA
6904,University of Alabama at Birmingham,UTA
6905,University of Alabama at Birmingham,PHO
6906,University of Memphis,PHO
6907,University of Memphis,NJN
6908,University of Memphis,CHH
6909,University of Memphis,MIL
6910,University of Memphis,MIL
6911,University of Memphis,LAC
6912,University of Memphis,TOT
6913,University of Memphis,PHO
6914,University of Memphis,TOT
6915,University of Memphis,ORL
6916,University of Memphis,TOT
6917,University of Memphis,PHO
6918,University of Memphis,NJN
6919,University of Memphis,MIL
6920,University of Memphis,PHO
6921,University of Memphis,MEM
6922,University of Memphis,UTA
6923,University of Memphis,TOT
6924,University of Memphis,MEM
6925,University of Memphis,NOP
6926,University of Memphis,PHI
6927,University of Memphis,POR
6928,Bradley University,MLH
6929,University of Notre Dame,TOT
6930,University of Notre Dame,HOU
6931,University of Notre Dame,DEN
6932,University of Notre Dame,CLE
6933,University of Notre Dame,PHI
6934,DePaul University,WAT
6935,Kentucky State University,BUF
6936,Kentucky State University,CLE
6937,Kentucky State University,CLE
6938,Kentucky State University,MIL
6939,Kentucky State University,MIL
6940,Kentucky State University,LAL
6941,Kentucky State University,TOT
6942,Kentucky State University,BUF
6943,Kentucky State University,LAL
6944,Kentucky State University,CLE
6945,"University of Nevada, Las Vegas",DEN
6946,"University of Nevada, Las Vegas",LAC
6947,"University of Nevada, Las Vegas",POR
6948,"University of Nevada, Las Vegas",SEA
6949,"University of Nevada, Las Vegas",TOT
6950,"University of Nevada, Las Vegas",LAC
6951,"University of Nevada, Las Vegas",LAC
6952,University of Mississippi,CHI
6953,University of Mississippi,DAL
6954,University of Mississippi,DEN
6955,University of Mississippi,DEN
6956,University of Mississippi,CHI
6957,University of Mississippi,DAL
6958,University of Mississippi,DAL
6959,University of Mississippi,DEN
6960,Duke University,LAC
6961,Duke University,PHI
6962,Duke University,LAC
6963,Duke University,LAC
6964,Duke University,LAC
6965,Duke University,LAC
6966,Duke University,CHI
6967,Duke University,CHI
6968,Duke University,ATL
6969,Duke University,PHI
6970,Duke University,LAC
6971,Duke University,LAC
6972,Duke University,DAL
6973,Duke University,PHI
6974,Duke University,PHI
6975,Duke University,PHI
6976,Duke University,ATL
6977,DePaul University,NYK
6978,DePaul University,BUF
6979,DePaul University,NYK
6980,DePaul University,NYK
6981,DePaul University,BOS
6982,DePaul University,BOS
6983,DePaul University,NYK
6984,DePaul University,BUF
6985,Delaware State University,SEA
6986,Delaware State University,ATL
6987,Delaware State University,SEA
6988,Delaware State University,ATL
6989,Delaware State University,HOU
6990,Delaware State University,HOU
6991,University of Connecticut,NOH
6992,University of Connecticut,CHA
6993,University of Connecticut,WAS
6994,University of Connecticut,CHA
6995,University of Connecticut,CHA
6996,University of Connecticut,NOH
6997,University of Connecticut,CHA
6998,University of Connecticut,CHA
6999,University of Connecticut,NOH
7000,University of Alabama,POR
7001,University of Alabama,CLE
7002,University of Alabama,SAS
7003,University of Alabama,TOT
7004,University of Alabama,CHI
7005,University of Alabama,WSB
7006,University of Alabama,ATL
7007,University of Alabama,CHI
7008,University of Alabama,POR
7009,University of Alabama,ATL
7010,University of Alabama,LAC
7011,University of Alabama,ATL
7012,University of Alabama,WSB
7013,Indiana University,NYK
7014,Indiana University,NYK
7015,University of Kentucky,PHO
7016,University of Kentucky,PHO
7017,University of Kentucky,PHO
7018,University of Kentucky,LAC
7019,University of Kentucky,PHO
7020,University of Kentucky,LAC
7021,University of Kentucky,LAC
7022,Midwestern State University,SAS
7023,University of San Francisco,CHI
7024,University of San Francisco,CLE
7025,University of San Francisco,BOS
7026,University of San Francisco,BOS
7027,University of San Francisco,BOS
7028,University of San Francisco,NYK
7029,University of San Francisco,CHI
7030,University of San Francisco,TOT
7031,Indiana University,NOP
7032,Indiana University,NOH
7033,Indiana University,NOP
7034,Indiana University,LAC
7035,Indiana University,NOH
7036,Indiana University,LAC
7037,Indiana University,HOU
7038,Indiana University,LAC
7039,Indiana University,NOP
7040,University of Nebraska,UTA
7041,University of Wyoming,DET
7042,University of Wyoming,UTA
7043,University of Wyoming,CHH
7044,University of Wyoming,PHI
7045,University of Wyoming,DET
7046,University of Wyoming,TOT
7047,University of Wyoming,CHH
7048,University of Wyoming,VAN
7049,University of Wyoming,CHH
7050,University of Wyoming,TOT
7051,University of Wyoming,SAC
7052,University of Wyoming,UTA
7053,Virginia Commonwealth University,TOT
7054,Virginia Commonwealth University,OKC
7055,Virginia Commonwealth University,PHI
7056,Virginia Commonwealth University,UTA
7057,Virginia Commonwealth University,TOT
7058,Virginia Commonwealth University,WAS
7059,Virginia Commonwealth University,TOT
7060,Virginia Commonwealth University,OKC
7061,Virginia Commonwealth University,OKC
7062,Virginia Commonwealth University,POR
7063,Virginia Commonwealth University,OKC
7064,"California State University, Long Beach",HOU
7065,University of Pittsburgh,MIL
7066,University of Pittsburgh,TOT
7067,University of Pittsburgh,MIL
7068,University of Pittsburgh,VAN
7069,University of Pittsburgh,VAN
7070,University of Arizona,PHI
7071,University of Arizona,TOT
7072,University of Arizona,DET
7073,University of Arizona,DET
7074,University of Arizona,DET
7075,University of Arizona,DET
7076,University of Arizona,PHI
7077,University of Arizona,NJN
7078,University of Arizona,DET
7079,University of Arizona,TOT
7080,University of North Carolina,DET
7081,University of North Carolina,TOR
7082,University of North Carolina,BOS
7083,University of North Carolina,DET
7084,University of North Carolina,DET
7085,University of North Carolina,NJN
7086,University of North Carolina,TOT
7087,University of North Carolina,PHI
7088,University of North Carolina,DAL
7089,University of North Carolina,TOT
7090,University of North Carolina,TOR
7091,University of North Carolina,DET
7092,University of North Carolina,BOS
7093,University of North Carolina,TOT
7094,Oregon State University,SAC
7095,Oregon State University,SAC
7096,Providence College,MIL
7097,Providence College,NJN
7098,Providence College,MIL
7099,Providence College,LAC
7100,Providence College,MIA
7101,Providence College,MIL
7102,Providence College,DEN
7103,Providence College,TOT
7104,Providence College,MIL
7105,Providence College,VAN
7106,Providence College,UTA
7107,University of Nebraska,PHO
7108,University of Nebraska,PHO
7109,University of Nebraska,LAC
7110,University of Nebraska,LAC
7111,University of Nebraska,CHI
7112,University of Nebraska,HOU
7113,University of Nebraska,LAC
7114,University of Nebraska,LAC
7115,University of Nebraska,LAC
7116,University of Nebraska,LAC
7117,University of Nebraska,LAC
7118,University of Nebraska,LAC
7119,University of Nebraska,CHI
7120,University of Nebraska,LAC
7121,University of Michigan,HOU
7122,University of Michigan,MIN
7123,University of Michigan,BOS
7124,University of Michigan,DAL
7125,University of Michigan,LAC
7126,Michigan State University,PHI
7127,Michigan State University,PHI
7128,Michigan State University,PHI
7129,Michigan State University,SEA
7130,Michigan State University,TOT
7131,Michigan State University,CLE
7132,Michigan State University,PHI
7133,Michigan State University,PHI
7134,Michigan State University,PHI
7135,Michigan State University,CLE
7136,Michigan State University,PHI
7137,Michigan State University,SEA
7138,Michigan State University,SEA
7139,Michigan State University,CLE
7140,Michigan State University,CLE
7141,University of Alabama,DEN
7142,University of Alabama,DEN
7143,Pepperdine University,UTA
7144,Pepperdine University,LAC
7145,Pepperdine University,LAC
7146,Pepperdine University,TOT
7147,Providence College,SAS
7148,Providence College,BOS
7149,Providence College,CHA
7150,Providence College,TOT
7151,Providence College,BOS
7152,Providence College,DEN
7153,Providence College,DEN
7154,Providence College,BOS
7155,Providence College,TOR
7156,Providence College,TOR
7157,Providence College,NJN
7158,Providence College,BOS
7159,Providence College,TOT
7160,Providence College,CLE
7161,Providence College,BOS
7162,Providence College,TOT
7163,Providence College,BOS
7164,Providence College,BOS
7165,St. John's University,POR
7166,St. John's University,POR
7167,Mississippi State University,GSW
7168,Mississippi State University,GSW
7169,Mississippi State University,DAL
7170,Mississippi State University,GSW
7171,Mississippi State University,IND
7172,Mississippi State University,GSW
7173,Mississippi State University,GSW
7174,Mississippi State University,DAL
7175,Mississippi State University,GSW
7176,Mississippi State University,GSW
7177,Mississippi State University,DAL
7178,Mississippi State University,DAL
7179,Mississippi State University,DAL
7180,Mississippi State University,ATL
7181,Mississippi State University,DAL
7182,Mississippi State University,MIA
7183,Virginia Polytechnic Institute and State University,DEN
7184,Virginia Polytechnic Institute and State University,DEN
7185,Virginia Polytechnic Institute and State University,TOT
7186,Virginia Polytechnic Institute and State University,UTA
7187,University of Nebraska,VAN
7188,University of Nebraska,DAL
7189,University of Nebraska,MIL
7190,University of Nebraska,NYK
7191,University of Nebraska,DAL
7192,University of Nebraska,BOS
7193,University of Nebraska,IND
7194,University of Nebraska,DAL
7195,University of Nebraska,MIL
7196,University of Nebraska,TOT
7197,University of Nebraska,DAL
7198,University of Kentucky,SAC
7199,University of Florida,CHI
7200,Indian Hills Community College,MIA
7201,Kansas State University,BOS
7202,Kansas State University,BOS
7203,University of Pennsylvania,PHW
7204,University of Pennsylvania,PHW
7205,University of Pennsylvania,STL
7206,University of Pennsylvania,PHW
7207,University of Pennsylvania,PHW
7208,University of Pennsylvania,PHW
7209,University of Pennsylvania,PHW
7210,University of Pennsylvania,SYR
7211,University of Pennsylvania,TOT
7212,Providence College,BUF
7213,Providence College,BUF
7214,Providence College,BUF
7215,Providence College,BUF
7216,Providence College,LAL
7217,Providence College,TOT
7218,Providence College,BOS
7219,University of Tennessee,KCK
7220,University of Tennessee,NYK
7221,University of Tennessee,NYK
7222,University of Tennessee,MIL
7223,University of Tennessee,MIL
7224,University of Tennessee,NYK
7225,University of Tennessee,NYK
7226,University of Tennessee,KCK
7227,University of Tennessee,KCK
7228,Colgate University,NYK
7229,Colgate University,NYK
7230,Colgate University,NYK
7231,Colgate University,NYK
7232,Colgate University,NYK
7233,Colgate University,NYK
7234,University of New Orleans,MIL
7235,University of New Orleans,MIL
7236,University of New Orleans,MIL
7237,University of New Orleans,MIL
7238,University of New Orleans,SEA
7239,University of New Orleans,SEA
7240,University of New Orleans,MIL
7241,University of New Orleans,DEN
7242,University of New Orleans,SEA
7243,University of New Orleans,MIN
7244,University of New Orleans,MIL
7245,University of New Orleans,MIL
7246,University of New Orleans,MIN
7247,University of San Francisco,DET
7248,University of San Francisco,DET
7249,University of San Francisco,CHI
7250,University of San Francisco,SEA
7251,University of San Francisco,CHI
7252,University of San Francisco,LAL
7253,University of San Francisco,TOT
7254,University of San Francisco,TOT
7255,University of San Francisco,SEA
7256,University of San Francisco,DET
7257,University of San Francisco,TOT
7258,University of San Francisco,CHI
7259,University of San Francisco,DET
7260,St. Bonaventure University,DET
7261,Syracuse University,ATL
7262,Syracuse University,WAS
7263,Syracuse University,WAS
7264,Syracuse University,OKC
7265,Syracuse University,WAS
7266,Syracuse University,WAS
7267,Syracuse University,WAS
7268,Syracuse University,WAS
7269,Syracuse University,WAS
7270,Auburn University at Montgomery,LAC
7271,Auburn University at Montgomery,CLE
7272,Auburn University at Montgomery,TOT
7273,Auburn University at Montgomery,WAS
7274,Auburn University at Montgomery,NYK
7275,Auburn University at Montgomery,IND
7276,University of Portland,SAC
7277,Northwestern University,DAL
7278,Northwestern University,NJN
7279,Northwestern University,NJN
7280,Northwestern University,DAL
7281,Ohio State University,BOS
7282,Ohio State University,PHI
7283,Ohio State University,IND
7284,Ohio State University,PHI
7285,Ohio State University,PHI
7286,Ohio State University,BOS
7287,Ohio State University,TOT
7288,Ohio State University,POR
7289,Ohio State University,PHI
7290,Purdue University,MIL
7291,Purdue University,IND
7292,University of Maryland,SAC
7293,"University of Nevada, Las Vegas",NJN
7294,Syracuse University,BOS
7295,Arizona State University,POR
7296,Arizona State University,DEN
7297,Arizona State University,DEN
7298,Arizona State University,DEN
7299,Arizona State University,DAL
7300,Arizona State University,DEN
7301,Arizona State University,DEN
7302,Arizona State University,DAL
7303,Arizona State University,DAL
7304,Arizona State University,POR
7305,Arizona State University,DEN
7306,La Salle University,DEN
7307,St. John's University,VAN
7308,St. John's University,MIN
7309,St. John's University,VAN
7310,St. John's University,TOT
7311,St. John's University,WAS
7312,St. John's University,MIN
7313,University of Louisville,UTA
7314,University of Louisville,NYK
7315,University of Louisville,MIN
7316,University of Louisville,UTA
7317,University of Louisville,NYK
7318,University of Louisville,SAS
7319,University of Louisville,MIN
7320,University of Louisville,MIN
7321,University of Louisville,GSW
7322,University of Louisville,GSW
7323,University of Louisville,TOT
7324,University of Louisville,ORL
7325,University of Louisville,GSW
7326,University of Louisville,UTA
7327,University of Wyoming,DET
7328,Vanderbilt University,GSW
7329,Vanderbilt University,GSW
7330,Vanderbilt University,GSW
7331,University of Wyoming,DNN
7332,University of Wyoming,TOT
7333,University of Wyoming,INO
7334,University of Wyoming,MIL
7335,University of Wyoming,BAL
7336,University of Wyoming,CIN
7337,University of Wyoming,TOT
7338,University of Wyoming,LAL
7339,University of Wyoming,MIL
7340,University of Wyoming,TOT
7341,University of Wyoming,LAL
7342,University of Wyoming,CIN
7343,University of Wyoming,TOT
7344,University of Wyoming,CHI
7345,University of Wyoming,CHI
7346,University of Wyoming,CIN
7347,State University of West Georgia,CLE
7348,State University of West Georgia,CLE
7349,State University of West Georgia,NJN
7350,State University of West Georgia,CLE
7351,State University of West Georgia,CLE
7352,State University of West Georgia,NJN
7353,State University of West Georgia,NJN
7354,State University of West Georgia,CLE
7355,State University of West Georgia,CLE
7356,State University of West Georgia,NJN
7357,Western Kentucky University,SYR
7358,Loyola Marymount University,SAS
7359,University of Notre Dame,ROC
7360,University of California,PHI
7361,University of California,TOT
7362,University of California,SEA
7363,University of California,DEN
7364,University of California,MIL
7365,University of California,TOT
7366,University of California,PHI
7367,University of California,SAS
7368,University of California,DEN
7369,University of California,UTA
7370,University of California,SAS
7371,University of California,MIL
7372,University of California,DEN
7373,University of Louisville,SAC
7374,University of Louisville,SAC
7375,University of Louisville,SAC
7376,University of Louisville,SAC
7377,University of Louisville,HOU
7378,University of Louisville,SAC
7379,University of Louisville,SAC
7380,University of Louisville,SAC
7381,University of Louisville,SAC
7382,University of Louisville,TOT
7383,University of Louisville,HOU
7384,University of Louisville,HOU
7385,Pennsylvania State University,SEA
7386,Pennsylvania State University,SEA
7387,Pennsylvania State University,SAS
7388,Pennsylvania State University,LAL
7389,Pennsylvania State University,TOT
7390,Pennsylvania State University,SAS
7391,Pennsylvania State University,MIL
7392,Pennsylvania State University,CHH
7393,Pennsylvania State University,BOS
7394,Pennsylvania State University,MIL
7395,Pennsylvania State University,SEA
7396,Pennsylvania State University,TOT
7397,Pennsylvania State University,SAS
7398,Pennsylvania State University,SAS
7399,Pennsylvania State University,MIL
7400,Pennsylvania State University,MIL
7401,Sam Houston State University,AND
7402,Wake Forest University,WSB
7403,Wake Forest University,WSB
7404,Wake Forest University,WSB
7405,Wake Forest University,WSB
7406,Wake Forest University,WSB
7407,Wake Forest University,PHO
7408,Wake Forest University,WSB
7409,Wake Forest University,WSB
7410,Wake Forest University,PHO
7411,Wake Forest University,HOU
7412,University of Wisconsin,CHO
7413,University of Wisconsin,CHO
7414,Purdue University,GSW
7415,Vanderbilt University,MIL
7416,Vanderbilt University,MIL
7417,Saint Mary's College of California,BLB
7418,Saint Mary's College of California,TOT
7419,Saint Mary's College of California,CHS
7420,Saint Mary's College of California,TOT
7421,Saint Mary's College of California,PHW
7422,Saint Mary's College of California,BLB
7423,Seattle University,SEA
7424,Seattle University,SEA
7425,Indiana University,PHW
7426,Syracuse University,ROC
7427,University of Detroit Mercy,CHI
7428,University of Wisconsin-Eau Claire,KCO
7429,Furman University,TOT
7430,Furman University,LAL
7431,Furman University,MNL
7432,Furman University,LAL
7433,Furman University,LAL
7434,Furman University,STL
7435,Furman University,MNL
7436,Furman University,NYK
7437,Furman University,SYR
7438,Furman University,TOT
7439,Furman University,LAL
7440,Furman University,TOT
7441,Furman University,STL
7442,University of Illinois at Urbana-Champaign,NYK
7443,University of Illinois at Urbana-Champaign,NYK
7444,University of Illinois at Urbana-Champaign,CHI
7445,Louisiana State University,FTW
7446,Louisiana State University,FTW
7447,Louisiana State University,FTW
7448,Louisiana State University,AND
7449,Louisiana State University,FTW
7450,Louisiana State University,TRI
7451,Louisiana State University,FTW
7452,Western Carolina University,LAL
7453,Western Carolina University,PHI
7454,Southern University and A&M College,KCK
7455,Southern University and A&M College,TOT
7456,Southern University and A&M College,SAS
7457,Southern University and A&M College,BOS
7458,Cleveland State University,PHI
7459,Cleveland State University,PHI
7460,Cleveland State University,PHI
7461,Cleveland State University,LAC
7462,Cleveland State University,LAC
7463,Cleveland State University,SAC
7464,Cleveland State University,SAC
7465,University of Iowa,SEA
7466,University of Iowa,SEA
7467,University of Iowa,SEA
7468,University of Iowa,SEA
7469,University of Iowa,SEA
7470,University of Iowa,SEA
7471,University of Iowa,SEA
7472,University of Iowa,SEA
7473,University of Iowa,SEA
7474,University of Iowa,SEA
7475,University of Iowa,SEA
7476,University of Iowa,SEA
7477,University of Iowa,SEA
7478,Mount St. Mary's University,PHI
7479,Mount St. Mary's University,TOT
7480,Mount St. Mary's University,TOT
7481,Mount St. Mary's University,PHI
7482,Mount St. Mary's University,BAL
7483,Mount St. Mary's University,PHI
7484,Mount St. Mary's University,MIL
7485,Mount St. Mary's University,BAL
7486,Mount St. Mary's University,PHI
7487,Mount St. Mary's University,PHI
7488,Mount St. Mary's University,BAL
7489,Mount St. Mary's University,PHI
7490,Fordham University,NYK
7491,Eastern Michigan University,NYK
7492,Eastern Michigan University,CHI
7493,St. Bonaventure University,MLH
7494,Miami University,CLE
7495,Miami University,CLE
7496,Miami University,DET
7497,Miami University,PHI
7498,Miami University,CIN
7499,Miami University,PHI
7500,Miami University,CIN
7501,Miami University,TOT
7502,Miami University,CIN
7503,Miami University,BUF
7504,Davidson College,MIL
7505,Davidson College,PHI
7506,Davidson College,CIN
7507,Davidson College,SFW
7508,Davidson College,SFW
7509,Davidson College,LAL
7510,Davidson College,SFW
7511,Davidson College,TOT
7512,Grambling State University,BUF
7513,Grambling State University,BUF
7514,Iowa State University,IND
7515,Iowa State University,IND
7516,Iowa State University,CHI
7517,Iowa State University,CHI
7518,Iowa State University,IND
7519,Iowa State University,CHI
7520,Iowa State University,IND
7521,Iowa State University,MIN
7522,Iowa State University,MIN
7523,Iowa State University,CHI
7524,University of Oregon,IND
7525,University of Oregon,IND
7526,University of Oregon,TOR
7527,University of Oregon,TOT
7528,University of Oregon,IND
7529,University of Oregon,IND
7530,University of Oregon,POR
7531,University of Oregon,LAC
7532,University of Oregon,NYK
7533,University of San Francisco,SFW
7534,University of San Francisco,STL
7535,University of San Francisco,STL
7536,Brigham Young University,MIL
7537,Brigham Young University,BOS
7538,Brigham Young University,UTA
7539,Brigham Young University,MIL
7540,Brigham Young University,MIL
7541,Brigham Young University,CLE
7542,Brigham Young University,MIL
7543,Brigham Young University,DAL
7544,Brigham Young University,UTA
7545,Brigham Young University,TOT
7546,Brigham Young University,SAS
7547,Brigham Young University,MIL
7548,Brigham Young University,LAL
7549,Brigham Young University,SAS
7550,Brigham Young University,BOS
7551,Syracuse University,TOT
7552,Syracuse University,NOJ
7553,Syracuse University,PHO
7554,Syracuse University,BOS
7555,Syracuse University,PHO
7556,Syracuse University,BOS
7557,West Virginia University,NYK
7558,West Virginia University,TOT
7559,West Virginia University,FTW
7560,West Virginia University,FTW
7561,West Virginia University,FTW
7562,West Virginia University,FTW
7563,West Virginia University,FTW
7564,University of San Francisco,WSC
7565,University of San Francisco,BLB
7566,University of San Francisco,TOT
7567,University of San Francisco,TOT
7568,University of San Francisco,FTW
7569,University of San Francisco,BOS
7570,University of San Francisco,BLB
7571,University of San Francisco,FTW
7572,University of Texas-Pan American,PHO
7573,University of Texas-Pan American,TOT
7574,University of Texas-Pan American,PHO
7575,University of Texas-Pan American,CIN
7576,Wichita State University,TOR
7577,Georgia Institute of Technology,SEA
7578,Georgia Institute of Technology,ATL
7579,Oregon State University,NOJ
7580,Oregon State University,TOT
7581,Oregon State University,PHI
7582,Oregon State University,NOJ
7583,Oregon State University,PHI
7584,Oregon State University,NOJ
7585,Oregon State University,PHI
7586,Oregon State University,PHI
7587,St. Bonaventure University,NYK
7588,St. Bonaventure University,TOT
7589,St. Bonaventure University,LAL
7590,St. Bonaventure University,TOT
7591,St. Bonaventure University,PHI
7592,St. Bonaventure University,NYK
7593,St. Bonaventure University,BUF
7594,St. Bonaventure University,LAL
7595,St. Bonaventure University,MIL
7596,Arizona State University,CIN
7597,Arizona State University,TOT
7598,Arizona State University,IND
7599,Arizona State University,BLB
7600,Arizona State University,PHW
7601,Eastern Kentucky University,CIN
7602,Eastern Kentucky University,TOT
7603,Eastern Kentucky University,IND
7604,Eastern Kentucky University,BLB
7605,Eastern Kentucky University,PHW
7606,Portland State University,WSB
7607,Portland State University,TOT
7608,Portland State University,SDC
7609,Portland State University,ATL
7610,Portland State University,UTA
7611,Portland State University,SDC
7612,Portland State University,SDC
7613,Portland State University,SDC
7614,University of Southern California,BOS
7615,University of Southern California,BOS
7616,Wichita State University,NOP
7617,Wichita State University,DAL
7618,Georgia Institute of Technology,PHO
7619,University of Oklahoma,SEA
7620,University of Oklahoma,PHO
7621,University of Oklahoma,PHO
7622,University of Oklahoma,PHO
7623,University of Oklahoma,SEA
7624,University of Oklahoma,PHO
7625,University of Oklahoma,BUF
7626,University of Oklahoma,BUF
7627,University of Oklahoma,SEA
7628,University of Oklahoma,TOT
7629,University of Oklahoma,TOT
7630,University of Oklahoma,CHI
7631,University of Oklahoma,PHO
7632,University of Oklahoma,BUF
7633,University of Oklahoma,SDC
7634,Eastern Kentucky University,BOS
7635,Eastern Kentucky University,BOS
7636,Augusta State University,PHO
7637,Louisiana State University,SAS
7638,Louisiana State University,MIL
7639,Louisiana State University,WAS
7640,Louisiana State University,TOT
7641,Louisiana State University,SAS
