id,college,team
236,Michigan State University,CHZ
237,Michigan State University,STL
238,Michigan State University,STL
239,Michigan State University,STL
240,Michigan State University,STL
241,Michigan State University,STL
242,University of Arizona,SEA
243,Saint Joseph's University,TOT
244,Saint Joseph's University,PHW
245,Saint Joseph's University,DNN
246,Bowling Green State University,SEA
247,Bowling Green State University,SEA
248,University of Wisconsin,PHI
249,University of Wisconsin,PHI
250,University of Florida,ATL
251,University of Florida,BOS
252,University of Florida,ATL
253,University of Florida,ATL
254,University of Florida,ATL
255,University of Florida,ATL
256,University of Florida,ATL
257,University of Florida,ATL
258,University of Florida,ATL
259,University of Florida,ATL
260,Wilberforce University,CIN
261,Canisius College,MLH
262,Canisius College,ROC
263,Canisius College,SYR
264,Canisius College,TOT
265,Western Illinois University,WAT
266,Long Island University,TOT
267,Long Island University,BLB
268,University of Massachusetts Amherst,PHI
269,University of Massachusetts Amherst,NJN
270,University of Massachusetts Amherst,TOT
271,University of Massachusetts Amherst,TOT
272,University of Massachusetts Amherst,DET
273,University of Massachusetts Amherst,NJN
274,University of Massachusetts Amherst,PHI
275,University of Massachusetts Amherst,NYN
276,Florida State University,LAC
277,Florida State University,LAC
278,Florida State University,WAS
279,Florida State University,LAC
280,Florida State University,TOT
281,Florida State University,TOT
282,Florida State University,WAS
283,Florida State University,GSW
284,Oklahoma Baptist University,BAL
285,Oklahoma Baptist University,CIN
286,Oklahoma Baptist University,BAL
287,Oklahoma Baptist University,CHI
288,Oklahoma Baptist University,SEA
289,Oklahoma Baptist University,TOT
290,Oklahoma Baptist University,SEA
291,Oklahoma Baptist University,TOT
292,University of North Carolina,SEA
293,University of North Carolina,SEA
294,University of North Carolina,TOT
295,University of North Carolina,DAL
296,University of North Carolina,SDC
297,University of North Carolina,ATL
298,University of North Carolina,SDC
299,University of North Carolina,SEA
300,Wake Forest University,NOP
301,Wake Forest University,NOH
302,Wake Forest University,POR
303,Wake Forest University,NOH
304,Wake Forest University,POR
305,Wake Forest University,LAC
